name,brand,quantity,generic_name,image_url,categories,labels,allergens,nutriscore,nova_group,ecoscore,origins
Bio-Fruchtjoghurt - Mango,Aldi,150g,Fruchtjoghurt,,en:dairies|en:fermented-foods|en:fermented-milk-products|en:desserts|en:dairy-desserts|en:fermented-dairy-desserts|en:fermented-dairy-desserts-with-fruits|en:yogurts|en:fruit-yogurts,en:organic|en:eu-organic|de:eg-öko-verordnung|en:fsc|en:fsc-mix|de:de-öko-003-eu-nicht-eu-landwirtschaft|de:keine-verwendung-mineralischer-stickstoffdünger|de:ohne-chemisch-synthetische-pflanzenschutzmittel,en:milk,c,3,a,
Mango Püree,Diamond,850g,,https://images.openfoodfacts.org/images/products/431/673/404/7669/3.400.jpg,en:plant-based-foods-and-beverages|en:plant-based-foods|en:canned-foods|en:canned-plant-based-foods|en:canned-fruits,,,b,1,,
Tortelloni Carne,Hilcona,750g,Nudeln,,en:plant-based-foods-and-beverages|en:plant-based-foods|en:meals|en:pasta-dishes|en:pastas|en:stuffed-pastas|en:tortelloni,en:no-preservatives|en:no-lactose,en:eggs|en:gluten|en:mustard,c,3,,Schweiz
Hellman's mit Knoblauch Note,Hellmann's,250 ml,Soße,https://images.openfoodfacts.org/images/products/871/132/740/5011/4.400.jpg,en:condiments|en:sauces|en:groceries,en:vegetarian,en:eggs|en:milk|en:mustard|en:milk,d,4,,
Dinkel + Roggen,Dr. Karg,110g,Brot,https://images.openfoodfacts.org/images/products/403/363/406/2249/8.400.jpg,en:plant-based-foods-and-beverages|en:plant-based-foods|en:cereals-and-potatoes|en:breads,,en:gluten,c,3,,
Bluetengelee Holunderblüte,Zwergenwiese,195g,Aufstrich,https://images.openfoodfacts.org/images/products/401/973/600/5698/3.400.jpg,en:plant-based-foods-and-beverages|en:plant-based-foods|en:breakfasts|en:spreads|en:plant-based-spreads|en:sweet-spreads|en:flower-preserves,en:no-gluten|en:organic|en:vegetarian|en:eu-organic|en:vegan|en:de-oko-005,,,,,
Rundkorn Spitzenreis Natur,Rapunzel,500g,Reis,https://images.openfoodfacts.org/images/products/400/604/010/5411/3.400.jpg,en:plant-based-foods-and-beverages|en:plant-based-foods|en:cereals-and-potatoes|en:seeds|en:cereals-and-their-products|en:cereal-grains|en:rices,en:organic|en:eu-organic|en:de-oko-006,,b,,d,
Vital Knusperbrot mit Dinkel,Spree Waffel,75g,Brot,https://images.openfoodfacts.org/images/products/401/283/634/0003/4.400.jpg,en:plant-based-foods-and-beverages|en:plant-based-foods|en:cereals-and-potatoes|en:breads|en:crispbreads,,en:eggs|en:gluten|en:soybeans,b,4,,
Knusper Joghurt Vanille,Müller,140 g,Joghurt,,en:dairies|en:fermented-foods|en:fermented-milk-products|en:desserts|en:dairy-desserts|en:fermented-dairy-desserts|en:yogurts,,en:gluten|en:milk|en:soybeans,c,4,b,
Studentenfutter Nüsse,Bio-Knospe,100g,Nüsse,https://images.openfoodfacts.org/images/products/762/484/129/2405/5.400.jpg,en:plant-based-foods-and-beverages|en:plant-based-foods|en:fruits-and-vegetables-based-foods|en:snacks|en:dried-products|en:fruits-based-foods|en:nuts-and-their-products|en:dried-plant-based-foods|en:nuts|en:dried-fruits|en:dried-mixed-fruits|en:mix-of-grains-and-dried-fruit|en:mix-of-grains-and-raisins|en:nuts-with-dried-fruits,en:fair-trade|en:organic|en:eu-organic|en:fairtrade-international|en:bio-suisse|en:ch-bio-006|en:max-havelaar,en:nuts,d,1,b,"Spanien,Türkei,Vietnam"
