# Categories from openfoodfacts-products.jsonl
# Total products: 373,676
# Products with categories: 161,016
# Unique categories: 17,072
#
# Format: count | category
#============================================================

   327 | en:flavoured-potato-crisps
   326 | en:marmalades
   326 | en:semi-skimmed-milks
   325 | en:tofu
   323 | en:toasts
   322 | en:almonds
   318 | en:dessert-mixes
   317 | en:non-alcoholic-beers
   316 | en:sweet-pastries-and-pies
   316 | en:viennoiseries
   316 | en:chewing-gum
   314 | en:white-breads
   313 | en:poultry-meals
   311 | en:cashew-nuts
   311 | en:diet-sodas
   310 | en:barbecue-sauces
   310 | en:grated-cheese
   309 | en:squeezed-fruit-juices
   304 | en:dehydrated-soups
   304 | en:white-hams
   303 | en:canned-tomatoes
   303 | fr:cork-and-bamboo-based-floor-coverings
   303 | fr:wood
   302 | en:beef
   302 | en:chickpeas
   301 | en:green-olives
   296 | en:onions-and-their-products
   294 | en:margarines
   293 | en:wafers
   293 | en:specific-products
   293 | en:applesauces
   292 | en:cocoa-and-hazelnuts-spreads
   290 | en:corn-chips
   290 | en:marzipan
   288 | en:simple-syrups
   286 | en:potato-preparations
   284 | en:smoked-salmons
   283 | en:products-for-specific-diets
   283 | en:kase
   283 | en:crispbreads
   283 | en:breaded-chicken
   282 | en:white-chocolates
   279 | en:roasted-nuts
   279 | en:fresh-eggs
   277 | en:basmati-rices
   276 | en:multifruit-juices
   276 | en:porridge
   275 | en:rice-dishes
   275 | en:potatoes
   274 | en:fresh-fruits
   273 | en:baguettes
   273 | en:easter-food
   272 | en:products-without-gluten
   270 | en:wheat-breads
   267 | en:emmentaler
   266 | en:potato-crisps-in-sunflower-oil
   266 | en:cereal-semolinas
   265 | en:vegetarian-sausages
   264 | en:red-wines
   263 | en:combination-meals
   260 | en:vegetable-soups
   260 | en:meat-spreads
   260 | en:fresh-cheeses
   259 | en:prawns
   259 | en:frozen-ready-made-meals
   259 | en:coffee-beans
   258 | en:sweet-peppers
   258 | en:fruit-teas
   256 | en:cured-liver-sausages
   255 | en:vegetable-rods
   255 | en:cured-hams
   253 | en:citrus
   253 | en:peppers
   253 | en:instant-coffees
   249 | en:salmon-fillets
   248 | en:fermented-creams
   248 | en:dried-vegetables
   248 | en:vegetable-based-beverages
   248 | en:filled-milk-chocolates
   247 | en:cheese-spreads
   245 | en:corn
   245 | en:filled-biscuits
   244 | en:chicken-breasts
   244 | en:french-cheeses
   243 | en:apples
   241 | en:soy-sauces
   240 | en:tomato-pastes
   240 | en:ravioli
   240 | en:vegetable-juices
   239 | en:dehydrated-broths
   237 | en:canned-soups
   236 | en:dried-tomatoes
   236 | en:assorted-chocolate-candies
   235 | en:rapeseed-oils
   235 | en:fruit-juices-from-concentrate
   235 | en:balsamic-vinegars
   233 | en:fermented-vegetables
   233 | en:sunflower-oils
   232 | en:vegetable-broths
   232 | en:meals-with-chicken
   230 | en:herbs-and-spices
   230 | en:german-sausages
   229 | en:chocolates-with-hazelnuts
   227 | en:gnocchi
   225 | en:meals-with-fish
   224 | en:puffed-rice-cakes
   223 | en:pflanzliche-getranke
   223 | en:frozen-seafood
   222 | en:frozen-fried-potatoes
   222 | en:frucht-und-gemusebasierte-lebensmittel
   222 | en:cheese-substitutes
   221 | en:tortellini
   219 | en:canned-cereals
   219 | en:baking-mixes
   217 | en:greek-cheeses
   217 | en:carrots
   216 | en:potato-dishes
   216 | en:curry-pastes
   216 | en:whipped-creams
   215 | en:canned-corn
   215 | en:blueberries
   214 | en:green-pestos
   214 | en:german-bakery-products
   214 | en:dates
   213 | en:fries
   212 | en:white-wines
   211 | en:sour-creams
   210 | en:greek-style-yogurts
   208 | en:plain-fermented-dairy-desserts
   208 | en:wholemeal-breads
